,timestamp,location,price,FirstName,LastName,Is_Loyalty,day,hour,minute,second,cents,CarID,CurrentEmploymentType,CurrentEmploymentTitle
0,2014-01-06 07:28:00,Brew've Been Served,11.34,Edvard,Vann,True,6,7,28,0,34.0,34.0,Security,Perimeter Control
1,2014-01-06 07:34:00,Hallowed Grounds,12.22,Hideki,Cocinaro,True,6,7,34,0,22.0,12.0,Security,Site Control
2,2014-01-06 07:35:00,Brew've Been Served,8.33,Stenig,Fusil,True,6,7,35,0,33.0,20.0,Security,Building Control
3,2014-01-06 07:36:00,Hallowed Grounds,16.72,Birgitta,Frente,True,6,7,36,0,72.0,18.0,Engineering,Geologist
4,2014-01-06 07:37:00,Brew've Been Served,4.24,Sven,Flecha,True,6,7,37,0,24.0,17.0,Information Technology,IT Technician
5,2014-01-06 07:38:00,Brew've Been Served,4.17,Cornelia,Lais,True,6,7,38,0,17.0,0.0,Other,Other
6,2014-01-06 07:42:00,Coffee Cameleon,8.73,Linnea,Bergen,True,6,7,42,0,73.0,6.0,Information Technology,IT Group Manager
7,2014-01-06 07:43:00,Brew've Been Served,9.6,Mat,Bramar,True,6,7,43,0,60.0,0.0,Other,Other
8,2014-01-06 07:43:00,Brew've Been Served,16.9,Brand,Tempestad,True,6,7,43,0,90.0,33.0,Engineering,Drill Technician
9,2014-01-06 07:47:00,Hallowed Grounds,16.53,Emile,Arpa,True,6,7,47,0,53.0,0.0,Other,Other
10,2014-01-06 07:48:00,Hallowed Grounds,10.66,Kare,Orilla,True,6,7,48,0,66.0,27.0,Engineering,Drill Technician
11,2014-01-06 07:49:00,Coffee Cameleon,8.39,Bertrand,Ovan,True,6,7,49,0,39.0,29.0,Facilities,Facilities Group Manager
12,2014-01-06 07:52:00,Brew've Been Served,12.83,Hennie,Osvaldo,True,6,7,52,0,83.0,21.0,Security,Perimeter Control
13,2014-01-06 07:54:00,Hallowed Grounds,16.88,Nils,Calixto,False,6,7,54,0,88.0,8.0,Information Technology,IT Technician
14,2014-01-06 07:54:00,Coffee Cameleon,11.86,Adra,Nubarron,True,6,7,54,0,86.0,25.0,Engineering,Geologist
15,2014-01-06 07:54:00,Hallowed Grounds,12.93,Rachel,Pantanal,True,6,7,54,0,93.0,0.0,Other,Other
16,2014-01-06 07:55:00,Hallowed Grounds,8.05,Lucas,Alcazar,True,6,7,55,0,5.0,1.0,Information Technology,IT Helpdesk
17,2014-01-06 07:55:00,Brew've Been Served,3.67,Varja,Lagos,True,6,7,55,0,67.0,23.0,Security,Badging Office
18,2014-01-06 07:59:00,Brew've Been Served,8.88,Inga,Ferro,True,6,7,59,0,88.0,13.0,Security,Site Control
19,2014-01-06 08:00:00,Brew've Been Served,4.27,Ruscella,Mies Haber,True,6,8,0,0,27.0,0.0,Other,Other
20,2014-01-06 08:00:00,Hallowed Grounds,9.69,Anda,Ribera,False,6,8,0,0,69.0,0.0,Other,Other
21,2014-01-06 08:01:00,Hallowed Grounds,10.07,Lidelse,Dedos,True,6,8,1,0,7.0,14.0,Engineering,Engineering Group Manager
22,2014-01-06 08:06:00,Brew've Been Served,18.24,Loreto,Bodrogi,True,6,8,6,0,24.0,15.0,Security,Site Control
23,2014-01-06 08:06:00,Brew've Been Served,15.58,Minke,Mies,True,6,8,6,0,58.0,24.0,Security,Perimeter Control
24,2014-01-06 08:07:00,Brew've Been Served,5.66,Felix,Resumir,True,6,8,7,0,66.0,30.0,Security,Security Group Manager
25,2014-01-06 08:14:00,Coffee Cameleon,3.2,Carla,Forluniau,False,6,8,14,0,20.0,0.0,Other,Other
26,2014-01-06 08:16:00,Brew've Been Served,14.97,Kanon,Herrero,True,6,8,16,0,97.0,22.0,Security,Badging Office
27,2014-01-06 08:16:00,Brew've Been Served,11.2,Linda,Lagos,True,6,8,16,0,20.0,0.0,Other,Other
28,2014-01-06 08:17:00,Brew've Been Served,15.39,Dante,Coginian,True,6,8,17,0,39.0,0.0,Other,Other
29,2014-01-06 08:23:00,Abila Airport,4540.08,Albina,Hafon,True,6,8,23,0,8.0,100.0,Facilities,Truck Driver
30,2014-01-06 09:06:00,Kronos Pipe and Irrigation,242.21,Albina,Hafon,True,6,9,6,0,21.0,100.0,Facilities,Truck Driver
31,2014-01-06 10:02:00,Nationwide Refinery,761.64,Cecilia,Morluniau,True,6,10,2,0,64.0,100.0,Facilities,Truck Driver
32,2014-01-06 10:18:00,Maximum Iron and Steel,2859.51,Albina,Hafon,True,6,10,18,0,51.0,100.0,Facilities,Truck Driver
33,2014-01-06 11:33:00,Stewart and Sons Fabrication,2144.62,Cecilia,Morluniau,True,6,11,33,0,62.0,100.0,Facilities,Truck Driver
34,2014-01-06 11:57:00,Carlyle Chemical Inc.,3959.66,Albina,Hafon,True,6,11,57,0,66.0,100.0,Facilities,Truck Driver
35,2014-01-06 12:00:00,Coffee Shack,11.51,Varro,Awelon,True,6,12,0,0,51.0,0.0,Other,Other
36,2014-01-06 12:00:00,Bean There Done That,10.28,Lars,Azada,True,6,12,0,0,28.0,2.0,Engineering,Engineer
37,2014-01-06 12:00:00,Bean There Done That,16.09,Felix,Balas,True,6,12,0,0,9.0,3.0,Engineering,Engineer
38,2014-01-06 12:00:00,Brewed Awakenings,5.72,Ingrid,Barranco,True,6,12,0,0,72.0,4.0,Executive,SVP/CFO
39,2014-01-06 12:00:00,Jack's Magical Beans,11.03,Isak,Baza,True,6,12,0,0,3.0,5.0,Information Technology,IT Technician
40,2014-01-06 12:00:00,Brewed Awakenings,16.89,Isande,Borrasca,True,6,12,0,0,89.0,7.0,Engineering,Drill Technician
41,2014-01-06 12:00:00,Bean There Done That,8.54,Axel,Calzas,True,6,12,0,0,54.0,9.0,Engineering,Drill Technician
42,2014-01-06 12:00:00,Brewed Awakenings,4.35,Ada,Campo-Corrente,True,6,12,0,0,35.0,10.0,Executive,SVP/CIO
43,2014-01-06 12:00:00,Bean There Done That,5.24,Gustav,Cazar,True,6,12,0,0,24.0,11.0,Engineering,Hydraulic Technician
44,2014-01-06 12:00:00,Bean There Done That,4.27,Vira,Frente,True,6,12,0,0,27.0,19.0,Engineering,Hydraulic Technician
45,2014-01-06 12:00:00,Jack's Magical Beans,18.59,Elsa,Orilla,True,6,12,0,0,59.0,28.0,Engineering,Drill Technician
46,2014-01-06 12:00:00,Jack's Magical Beans,7.84,Orhan,Strum,True,6,12,0,0,84.0,32.0,Executive,SVP/COO
47,2014-01-06 12:00:00,Jack's Magical Beans,18.1,Willem,Vasco-Pais,True,6,12,0,0,10.0,35.0,Executive,Environmental Safety Advisor
48,2014-01-06 12:16:00,Abila Airport,1873.79,Henk,Mies,False,6,12,16,0,79.0,100.0,Facilities,Truck Driver
49,2014-01-06 12:56:00,Katerina’s Café,13.68,Ada,Campo-Corrente,False,6,12,56,0,68.0,10.0,Executive,SVP/CIO
50,2014-01-06 12:57:00,Hippokampos,9.16,Orhan,Strum,False,6,12,57,0,16.0,32.0,Executive,SVP/COO
51,2014-01-06 13:18:00,Abila Zacharo,26.93,Carla,Forluniau,True,6,13,18,0,93.0,0.0,Other,Other
